rating,review,avg_word,word_count
1,"['pengiriman', 'ninja', 'sangat', 'lama', 'jauh', 'berbeda', 'kurir', 'internal', 'lazada', 'baik', 'kasih', 'opsi', 'pelanggan', 'bisa', 'memilih', 'kurir']",5.8125,16
1,"['pesananku', 'nomor', 'order', 'terkirim', 'baik', 'nomor', 'order', 'pesananku', 'nomor', 'order', 'terkirim', 'baik', 'nomor', 'order', 'ratus', 'enam', 'puluh', 'juta', 'sembilan', 'ratus', 'ribu', 'seratus', 'puluh', 'sembilan', 'email', 'is', 'luviantienam', 'email', 'om', 'terkendali', 'tidak', 'tahu', 'proses', 'transaksi', 'tidak', 'konfirmasi', 'pembayaran', 'email', 'nomor', 'telpon', 'komplain', 'lazada', 'tidak', 'kejelasan', 'barang', 'tidak', 'kirim', 'mengadukan', 'penampilan', 'dana', 'tidak', 'bisa', 'solusinya', 'barang', 'bisa', 'kirim', 'tidak', 'bisa', 'mengembalikan', 'dana', 'mohon', 'bantuannya', 'nol', 'pesananku', 'nomor', 'order', 'terkirim', 'baik', 'nomor', 'order', 'ratus', 'enam', 'puluh', 'juta', 'sembilan', 'ratus', 'ribu', 'seratus', 'puluh', 'sembilan', 'email', 'is', 'luviantienam', 'email', 'om', 'terkendali', 'tidak', 'tahu', 'proses', 'transaksi', 'tidak', 'konfirmasi', 'pembayaran', 'email', 'nomor', 'telpon', 'komplain', 'lazada', 'tidak', 'kejelasan', 'barang', 'tidak', 'kirim', 'mengadukan', 'penampilan', 'dana', 'tidak', 'bisa', 'solusinya', 'barang', 'bisa', 'kirim', 'tidak', 'bisa', 'mengembalikan', 'dana', 'mohon', 'bantuannya', 'nol', 'pesananku', 'nomor', 'order', 'terkirim', 'baik', 'nomor', 'order', 'ratus', 'enam', 'puluh', 'juta', 'sembilan', 'ratus', 'ribu', 'seratus', 'puluh', 'sembilan', 'email', 'is', 'luviantienam', 'email', 'om', 'terkendali', 'tidak', 'tahu', 'proses', 'transaksi', 'tidak', 'konfirmasi', 'pembayaran', 'email', 'nomor', 'telpon', 'komplain', 'lazada', 'tidak', 'kejelasan', 'barang', 'tidak', 'kirim', 'mengadukan', 'penampilan', 'dana', 'tidak', 'bisa', 'solusinya', 'barang', 'bisa', 'kirim', 'tidak', 'bisa', 'mengembalikan', 'dana', 'mohon', 'bantuannya', 'pesananku', 'nomor', 'order', 'terkirim', 'baik', 'nomor', 'order', 'ratus', 'enam', 'puluh', 'juta', 'sembilan', 'ratus', 'ribu', 'seratus', 'puluh', 'sembilan', 'email', 'is', 'luviantienam', 'email', 'om', 'terkendali', 'tidak', 'tahu', 'proses', 'transaksi', 'tidak', 'konfirmasi', 'pembayaran', 'email', 'nomor', 'telpon', 'komplain', 'lazada', 'tidak', 'kejelasan', 'barang', 'tidak', 'kirim', 'mengadukan', 'penampilan', 'dana', 'tidak', 'bisa', 'solusinya', 'barang', 'bisa', 'kirim', 'tidak', 'bisa', 'mengembalikan', 'dana', 'mohon', 'bantuannya', 'nol', 'email', 'is', 'luviantienam', 'email', 'om', 'terkendali', 'tidak', 'tahu', 'proses', 'transaksi', 'tidak', 'konfirmasi', 'pembayaran', 'email', 'nomor', 'telpon', 'komplain', 'lazada', 'tidak', 'kejelasan', 'barang', 'tidak', 'kirim', 'mengadukan', 'penampilan', 'dana', 'tidak', 'bisa', 'solusinya', 'barang', 'bisa', 'kirim', 'tidak', 'bisa', 'mengembalikan', 'dana', 'mohon', 'bantuannya']",6.152985074626866,268
5,"['tidak', 'sia', 'sia', 'susah', 'payah', 'ikutan', 'flashsale', 'harganya', 'naik', 'turunin', 'harganya', 'secara keseluruhan', 'ok', 'mantap', 'thank', 'lazada', 'thank', 'xiaomi', 'redmi']",6.105263157894737,19
5,"['tujuh', 'kali', 'gagal', 'flashsale', 'padahal', 'nga', 'nyangka', 'estimasi', 'senin', 'diterima', 'sabtu', 'pelajaran', 'kurir', 'oke', 'tingkatan', 'lazada']",6.125,16
5,"['kurang', 'setuju', 'flash sale', 'sih', 'strategi', 'marketing', 'berhasil', 'segi', 'kepuasan', 'konsumen', 'kurang', 'banyak', 'tidak', 'delapan', 'kali', 'flash sale', 'cuma', 'toko', 'toko', 'telepon genggam', 'banyak', 'flash sale', 'dijual', 'harga', 'tingi', 'merugikan', 'mi', 'penggemar']",6.678571428571429,28
1,"['kurir', 'ninja', 'express', 'lambat', 'kecewa', 'sih', 'lazada', 'bekerja', 'kurir', 'siput']",5.5,10
1,"['pengiriman', 'kota', 'depak', 'membutuhkan', 'sebelas', 'terhitung', 'kurir', 'pink', 'up', 'lazada', 'resi', 'tertera', 'pengiriman', 'gudang', 'ninja', 'jakarta', 'timur', 'tidak', 'komunikasi', 'informasi', 'resi', 'kendala', 'paket', 'ditelepon', 'beralasan', 'titik', 'alamat', 'tidak', 'temukan', 'padahal', 'alamat', 'sangat', 'jelas', 'ekspedisi', 'tidak', 'kendala', 'seperti', 'alasan', 'tidak', 'temukan', 'titik', 'alamat', 'benar', 'tidak', 'menghubungi', 'menerima', 'langsung', 'keterangan', 'resi', 'tolong', 'lazada', 'dipertimbangkan', 'mengunakan', 'kurir', 'ninja', 'tidak', 'jarang', 'review', 'produk', 'lazada', 'bintang', 'kecil', 'pengiriman', 'lambat', 'ninja', 'semoga', 'masukan', 'diperhatikan', 'pengalaman', 'berbelanja', 'baik', 'lazada', 'terima', 'kasih']",6.6891891891891895,74
5,"['barang', 'cuma', 'lama', 'lebih baik', 'pakai', 'ekspedisi', 'bisa', 'dipercaya', 'pakai', 'les', 'id', 'pakai', 'ninjavanid', 'i', 'lama']",5.4,15
5,"['saran', 'tolong', 'pengiriman', 'paket', 'jeng', 'jasa', 'pengiriman', 'ninja', 'express', 'paket', 'lama']",5.909090909090909,11
5,"['telepon genggam', 'xiaomi', 'oke', 'cepat', 'kurir', 'ramah', 'terima', 'kah', 'xiaomi', 'lazada', 'semoga', 'flash', 'sale', 'berlanjut', 'oke']",5.8,15
