5,Thanks Lazada.. Brg 1 hari lgsg smpai.. Tp gmna cara klaim garansinya ya? Tdk ada kartu garansi khusus atas nama toko dan tdk ada nota pembelian.. Mohon dibalas..
5,"Apakah ini produk garansi resmi dari atam?
karena tidak tertulis dalam deskripsi produk, pada box terdapat stike TAM, tapi di dalam box tidak terdapat kartu garansi
Bagaimana tata cara mengurus/klaim garansi?"
1,"parah nih g ada telpon dan kurir kerumah tiba2 barang diterimah, UDAH 2X DIKECEWAIN LAZADA KAYAK GINI.
LAIN KALI KURIRX YANG BENER BIAR G CURANG KAYAK GINI. LOE KATA IKUT FS MUDAH APA !!"
1,"10 Jan: Berhasil memesan barang
11 Jan: baru bisa melunasi via Indomaret
15 Jan: Barang masuk ke kurir NINJA VAN pukul 12.22 AM dengan perkiraan pengiriman 15-18 Jan 2018
18 Jan: Barang tidak datang alias gagal kirim oleh NINJA VAN
18-23 Jan: Penjadwalan ulang kirim barang oleh kurir
23 Jan: Barang kembali gagal dikirim dengan alasan sedang padat paketan.
Selanjutnya saya komplain ke KURIR NINJA VAN via GMAIL sebanyak >6x dan via TELPON sebanyak 10x ditambah komplain via CHAT dan GMAIL ke LAZADA >8x dan HANYA ADA JANJI.
Hasilnya:
26 Jan: Barang dinyatakan TIDAK DITEMUKAN alias HILANG oleh pihak kurir NINJA VAN (sore) dan pada malamnya mendapatkan SMS dari LAZADA bahwa PESANAN DIBATALKAN dan diminta mengisi FORMULIR PENGEMBALIAN DANA.
Siapa yang salah coba??
Ada MALING yang juga berprofesi sebagai KURIR??"
1,barang belum diterima sama sekali. tp dpt notif bahwa barang sudah dikirim dn diterima an saya. permainan kurir atw penjual??!!! tolong diproses
5,Thanks Lazada.. Brg 1 hari lgsg smpai.. Tp gmna cara klaim garansinya ya? Tdk ada kartu garansi khusus atas nama toko dan tdk ada nota pembelian.. Mohon dibalas..
5,"Apakah ini produk garansi resmi dari atam?
karena tidak tertulis dalam deskripsi produk, pada box terdapat stike TAM, tapi di dalam box tidak terdapat kartu garansi
Bagaimana tata cara mengurus/klaim garansi?"
1,"parah nih g ada telpon dan kurir kerumah tiba2 barang diterimah, UDAH 2X DIKECEWAIN LAZADA KAYAK GINI.
LAIN KALI KURIRX YANG BENER BIAR G CURANG KAYAK GINI. LOE KATA IKUT FS MUDAH APA !!"
1,"10 Jan: Berhasil memesan barang
11 Jan: baru bisa melunasi via Indomaret
15 Jan: Barang masuk ke kurir NINJA VAN pukul 12.22 AM dengan perkiraan pengiriman 15-18 Jan 2018
18 Jan: Barang tidak datang alias gagal kirim oleh NINJA VAN
18-23 Jan: Penjadwalan ulang kirim barang oleh kurir
23 Jan: Barang kembali gagal dikirim dengan alasan sedang padat paketan.
Selanjutnya saya komplain ke KURIR NINJA VAN via GMAIL sebanyak >6x dan via TELPON sebanyak 10x ditambah komplain via CHAT dan GMAIL ke LAZADA >8x dan HANYA ADA JANJI.
Hasilnya:
26 Jan: Barang dinyatakan TIDAK DITEMUKAN alias HILANG oleh pihak kurir NINJA VAN (sore) dan pada malamnya mendapatkan SMS dari LAZADA bahwa PESANAN DIBATALKAN dan diminta mengisi FORMULIR PENGEMBALIAN DANA.
Siapa yang salah coba??
Ada MALING yang juga berprofesi sebagai KURIR??"
1,barang belum diterima sama sekali. tp dpt notif bahwa barang sudah dikirim dn diterima an saya. permainan kurir atw penjual??!!! tolong diproses
5,trims lazada. btw saya disuruh masukin ID outlet trus diisi apa ya? mohon bantuannya coz gak berhasil
1,barang belum sampai ditangan tapi status sudah diterima. mohon ditindak kalau ada oknum kurir seperti ini
5,"Pengiriman cepat, paket rapi, barang bagus !! Tidak mengecewakan ... Tapi mau tanya, ID Outlet simcard nya berapa ya ?"
5,"All, kode toko masukin abcde
Beli tgl 3 dtg tgl 4 via cod, masa aktif m3 cm smp tgl 7.
Keren dah, tks lazada, tks xiaomi."
1,"saya sampai hari ini belum menerima pesanan saya , dari jadwal seharusnya sudah sampai sekarang , bagaimana ini ?"
1,"Hpnya sih ga perlu dibahas lagi, terbaik.
Tapi mau share pengalaman. Barangkali ada yang order dan barangnya ga kunjung sampai jangan ragu buat kontak cs lazada, minta no.resi dan kontak jg jasa kurirnya. Saya ngalamin sendiri barang saya statusnya terkirim tapi entah siapa yang menerima. Setelah saya usut si kurirnya malah clingak-clinguk cari alesan dan dia janji ganti dari barang hasil retur katanya (ga tau dah dia dapet darimana).
Hape ini tu langka sob, dan harga jualnya pun lumayan. Jadi banyak kurir yang jadi oknum menggelapkan ini hp. So, sebagai konsumen yang cerdas kita harus menindak yang begini biar ga jadi kebiasaan. udah mah dapet hapenya susah masa iya kita diem2 aja hapenya dijual lagi ama oknum kurir buat keuntungan mereka. Buat lazada ditingkatkan lagi aja servisnya terutama saat flashsale, dan tolong hanya bekerja sama dengan jasa pengiriman yang terpercaya (ane dikirimnya pake SAP EXPRESS)."
1,Sangat2 buruk parah bgt barang blm d terimaa tp status sudh tibaa d tujuan.. Apakah kurir yg embat... Woi brg blm gw terimaa..
1,"Mungkin kalian sengaja buat kami membuka lazada terus untuk dapat membeli hp ini dengan harga murah, nyatanya di akhir tidakbisa mengkonfirmasi pembayaran"
