4,"packing nya rapi pengiriman cepat, lebih cepat dari estimasi cuman kartu Garansi TAM nya koq G ada ya."
5,packing hanya pakai bubble wrap dan plastik. selalu sampai dengan aman sih. tapi ya bagusnya ditingkatkan. terimakasih lazada
5,"PACKING SANGAT BAIK, PENGIRIMAN JUGA CEPAT RABU SIANG IKUT FLASH SALAE, KAMIS SIANG SUDAH SAMPAI.
WARNA SESUAI DENGAN YANG DIDAPAT KETIKA FLASH SALE.
KURIR INTERNAL LAZADA NYA JUGA SANGAT AMANAH"
2,"menunggu jwbn lazada mengenai pengembalian brg,, slot sim card 2 tdk bisa dieject/ dibuka, shga tidak bisa psg sim card 2"
5,"Setelah perjuangan yang saya ceritakan di ulasan warna Grey, akhirnya HP yang Biru ini sampai ke tangan saya dengan aman selamat dan lengkap. Ternyata memang ada kesalahan barang hilang di minggu sebelumnya, mungkin temen kurirnya diem"" ambil barangnya. :')

Kebetulan yang kirim barang sekarang kurir yang sama. Bisa dipastikan 90% kalau dia ngga macem-macem.

Tapi semua itu sudah berlalu, sabar dan tenang selalu ada hasilnya. Yang penting barangnya ok, juga bonus kartu di dalamnya, walau tidak saya pakai. Sejauh ini belum ada masalah karena baru sehari pemakaian juga (mudah-mudahan panjang umur)."
4,"packing nya rapi pengiriman cepat, lebih cepat dari estimasi cuman kartu Garansi TAM nya koq G ada ya."
5,packing hanya pakai bubble wrap dan plastik. selalu sampai dengan aman sih. tapi ya bagusnya ditingkatkan. terimakasih lazada
5,"PACKING SANGAT BAIK, PENGIRIMAN JUGA CEPAT RABU SIANG IKUT FLASH SALAE, KAMIS SIANG SUDAH SAMPAI.
WARNA SESUAI DENGAN YANG DIDAPAT KETIKA FLASH SALE.
KURIR INTERNAL LAZADA NYA JUGA SANGAT AMANAH"
2,"menunggu jwbn lazada mengenai pengembalian brg,, slot sim card 2 tdk bisa dieject/ dibuka, shga tidak bisa psg sim card 2"
5,"Setelah perjuangan yang saya ceritakan di ulasan warna Grey, akhirnya HP yang Biru ini sampai ke tangan saya dengan aman selamat dan lengkap. Ternyata memang ada kesalahan barang hilang di minggu sebelumnya, mungkin temen kurirnya diem"" ambil barangnya. :')

Kebetulan yang kirim barang sekarang kurir yang sama. Bisa dipastikan 90% kalau dia ngga macem-macem.

Tapi semua itu sudah berlalu, sabar dan tenang selalu ada hasilnya. Yang penting barangnya ok, juga bonus kartu di dalamnya, walau tidak saya pakai. Sejauh ini belum ada masalah karena baru sehari pemakaian juga (mudah-mudahan panjang umur)."
5,"barang sudah sampai dengan selamat dalam keadaan baik, tersegel dengan baik, pengiriman cepat"
5,"Josss..!!
Suka bgt dgn brg nya...
Ngirimnya cpt 2hr udh nyampek rumah.

Mksh lazada..
Maju trsss..."
1,"Produk diterima 1 hari after order, pengiriman yang sangat cepat sekali (hanya H+1 order).
Produk mulus, packing rapi, dan sesuai orderan."
5,"Untuk device android dengan harga sekian sudah worth it to have laa. Walo spek cuma di 2 GB / 16 GB tapi performa masih sadis di pake lama, ga begitu laggy."
3,"╔══╦═╦═╦══╦═╦═╦╦╦╗
║║║║║║║╠╗╔╣║║║║║║║
║║║║╦║║║║║║╦║╔╬╬╬╣
╚╩╩╩╩╩╩╝╚╝╚╩╩╝╚╩╩╝"
5,"sudah terima, warna biru nya agak berbeda dari di foto tapi tetap cantik warnanya dan semuanya berfungsi dengan baik."
5,"Alhamdulillah dapat Redmi 5A yg langka, pas hari rabu tgl 30/1/2017 kemarin barang ini yang sudah habis terjual duluan haha.."
5,Bagus tp sering ga dikirim barangnya kemakan sama bos satelit lazada sih
